Date,Open,High,Low,Close,Volume,Change
2015-07-01,248710.0,246075,244635,245460,48041,0.373504463289411
2015-07-02,249105.0,249490,248475,248865,65494,0.3293286179622035
2015-07-03,248245.0,249585,248285,248970,61600,0.0109662532728666
2015-07-06,291045.0,292320,286785,288295,53820,-0.064150135245424
2015-07-07,281895.0,291365,278445,281170,59518,-0.6388167660326605
2015-07-08,279835.0,283530,279895,282285,122714,0.0980057700328935
2015-07-09,282930.0,282375,278400,281140,74610,-0.0956548793061637
2015-07-10,282830.0,283580,281140,282215,98260,0.1210431372802025
2015-07-13,285335.0,284375,282285,284025,52301,0.1723442209483875
2015-07-14,286370.0,285940,284250,284990,88619,0.0889343206410432
2015-07-15,287420.0,287375,285450,285920,135266,0.0933115018581472
2015-07-16,286780.0,288245,286690,287705,108866,0.1706907949164254
2015-07-17,287580.0,287125,285680,286295,112822,-0.1567304677574925
2015-07-20,288785.0,288350,287045,288035,86753,0.1562030324094613
2015-07-21,287995.0,289900,287370,288960,118775,0.1030698116992608
2015-07-22,286955.0,289030,287060,287740,139199,-0.1202349020596296
2015-07-23,286770.0,287945,286515,287540,119848,-0.0328545140093837
2015-07-24,286405.0,287560,286155,286855,170114,-0.0884738647854942
2015-07-27,285065.0,287350,285660,286305,238108,-0.0571595491799236
2015-07-28,287165.0,287350,283540,286425,268555,-0.0146380451016992
2015-07-29,282210.0,287460,283615,284040,255599,-0.2051212061554036
2015-07-30,281540.0,284430,280915,281930,249034,-0.2054952204854672
2015-07-31,291335.0,295815,289860,294635,370350,0.2659608672187561
2015-08-03,291075.0,292015,289555,290085,184616,-0.4141620674015085
2015-08-04,292450.0,292125,290130,291475,277729,0.1285283262935931
2015-08-05,294100.0,293895,291945,293340,236662,0.2102596384906775
2015-08-06,292790.0,294985,293260,293840,447053,0.0503250851982828
2015-08-07,292275.0,293450,292305,293000,376753,-0.0965623596661504
2015-08-10,289885.0,296350,291185,291605,1127572,-0.1732065789499069
2015-08-11,287635.0,293895,287785,288555,1483829,-0.2632288689960012
2015-08-12,287030.0,289695,283840,286080,1744405,-0.2946588102325453
2015-08-13,405475.0,406825,400340,405145,1622808,0.5575705373983445
2015-08-17,402430.0,406675,404235,405275,808976,-0.0317724155912663
2015-08-18,394595.0,403135,399000,399850,1302708,-0.5661349823541993
2015-08-19,391600.0,395585,390490,393400,1636807,-0.7593951816867451
2015-08-20,383580.0,393840,390145,391295,1475955,-0.2605849139838729
2015-08-21,384955.0,391470,382440,389865,1340499,-0.225302124853206
2015-08-24,388285.0,391150,381870,385655,1352746,-0.6044485927197533
2015-08-25,393790.0,393060,385650,391730,1312695,0.6291235005282151
2015-08-26,399135.0,398320,391465,396065,1786894,0.5467598703695218
2015-08-27,399420.0,403440,396130,400170,1784613,0.4752041722068557
2015-08-28,394730.0,400725,397685,398850,909162,0.1466294812265918
2015-08-31,397285.0,401145,394095,399115,795339,0.0473014288642322
2015-09-01,393480.0,399210,394200,394855,1421898,-0.3601663316637595
2015-09-02,395225.0,395490,391390,393810,1267331,-0.1479192883901344
2015-09-03,390545.0,395930,392510,393120,3327745,-0.0498943425704414
